woord afkap
kleingeloof klein-ge-loof
kleinheid klein-heid
kleinvee klein-vee
klere kle-re
kleurgesteente kleur-ge-steen-te
klim klim
klimmende klim-men-de
klink klink
klinkende klin-ken-de
klip klip
kluit kluit
kneg kneg
knegte kneg-te
knegte<U+2040>en kneg-te<U+2040>en
knegte<U+2040>ontvang kneg-te<U+2040>-ont-vang
knielverkleining kniel-ver-klei-ning
koest'rend koest'rend
kom kom
kommer kom-mer
kommernis kom-mer-nis
koms koms
kon kon
koning ko-ning
konings ko-nings
koningskap ko-ning-skap
koningskind ko-ningskind
koninkryk ko-nin-kryk
koninkryke ko-nin-kry-ke
koop koop
koor koor
koorgesang koor-ge-sang
kop kop
koper ko-per
kort kort
kort” kort”
kortstondig kortston-dig
koue<U+2040>of kou-e<U+2040>of
krag krag
kragdaad krag-daad
kragte krag-te
kragtig krag-tig
kragtiger krag-ti-ger
krankes kran-kes
kringe krin-ge
kringloop kring-loop
kristal kristal
kristallyn kristal-lyn
krom krom
krone kro-ne
kroon kroon
kruike krui-ke
kruis kruis
kruispaal kruispaal
kruiswoord kruis-woord
krul krul
kry kry
kudde kud-de
kuis kuis
kus kus
kwaad kwaad
kwel kwel
kwelling kwel-ling
kwyn kwyn
kwyt kwyt
kyk kyk
laafnis laaf-nis
laag laag
laagte laag-te
laaste laas-te
laaste<U+2040>en laas-te<U+2040>en
laat laat
lam lam
lammerooie lam-me-rooie
lammers lam-mers
lamp lamp
land land
lande lan-de
lang lang
lange lan-ge
langer lan-ger
langs langs
langverwagte<U+2040>oorwinning lang-ver-wag-te<U+2040>oor-win-ning
lank lank
lankmoedig lank-moe-dig
las las
laster las-ter
lastering las-te-ring
lê lê
leë leë
leed leed
leef leef
lééf lééf
leeftyd leef-tyd
leer leer
leërs leërs
leërskaar leërskaar
lees lees
lei lei
lelie le-lie
lelies le-lies
lengte leng-te
leraars le-raars
let let
letsel letsel
leu'n leu'n
leuenmond leu-en-mond
lewe le-we
lewe<U+2040>as le-we<U+2040>as
lewe<U+2040>en le-we<U+2040>en
lewe<U+2040>in le-we<U+2040>in
lewe<U+2040>of le-we<U+2040>of
lewe<U+2040>uit le-we<U+2040>uit
lewendes le-wen-des
lewendig le-wen-dig
lewens le-wens
lewensasem le-wen-sa-sem
lewensboek le-wens-boek
lewensboom le-wens-boom
lewensdae le-wens-dae
lewenskroon le-wenskroon
lewenslig le-wens-lig
lewensnag le-wensnag
lewensorge le-wen-sor-ge
lewenstroom le-wen-stroom
lewensvolle le-wens-vol-le
lewensvonke le-wens-von-ke
lewenswandel le-wens-wan-del
lewenswater le-wens-wa-ter
lewenswoord le-wens-woord
lid lid
lied lied
lief lief
liefde lief-de
liefde<U+2040>alleen lief-de<U+2040>-al-leen
liefde<U+2040>en lief-de<U+2040>en
liefde<U+2040>in lief-de<U+2040>in
liefde<U+2040>ons lief-de<U+2040>ons
liefdesdaad lief-des-daad
liefgehad lief-ge-had
liefgehad” lief-ge-had”
liefhet lief-het
lig lig
liggaam lig-gaam
ligglans lig-glans
