woord afkap
geklank ge-klank
geklater ge-kla-ter
geklem ge-klem
geklots ge-klots
geknel ge-knel
geknot ge-knot
gekom ge-kom
gekrenk ge-krenk
gekroon ge-kroon
gekry ge-kry
gekweek ge-kweek
gekwel ge-kwel
gekwes ge-kwes
gelaai ge-laai
gelaster ge-las-ter
geld geld
gel� gel�
gelede ge-le-de
gele� ge-le�
geleef ge-leef
geleer ge-leer
gelei ge-lei
gelet ge-let
geleun ge-leun
gelewe ge-le-we
gelewer ge-le-wer
geloftes ge-lof-tes
geloftewoord ge-lof-te-woord
geloofd ge-loofd
gelouter ge-lou-ter
gelouterd ge-lou-terd
gelowig ge-lo-wig
geluid ge-luid
geluister ge-luis-ter
geluk ge-luk
gelukkig ge-luk-kig
gelukkige ge-luk-ki-ge
gelukstaat ge-luk-staat
gely ge-ly
gelyk ge-lyk
gemaak ge-maak
gemarteld ge-mar-teld
gemeenskap ge-meen-skap
gemeenskapsbande ge-meen-skaps-ban-de
gemeente ge-meen-te
gemeet ge-meet
gemeld ge-meld
gemis ge-mis
gemoed ge-moed
gemurmureer ge-mur-mu-reer
gena ge-na
genaak ge-naak
genade ge-na-de
genadebrood ge-na-de-brood
genadeloon ge-na-de-loon
genadig ge-na-dig
genadige ge-na-di-ge
genadiglik ge-na-dig-lik
gene� ge-ne�
genees ge-nees
geneig ge-neig
genestel ge-nestel
geniet ge-niet
genoeg ge-noeg
genot ge-not
geopen ge-o-pen
gepeins ge-peins
geplaag ge-plaag
geplant ge-plant
gepleit ge-pleit
geploeg ge-ploeg
gepraat ge-praat
geprikkel ge-prik-kel
gepynig ge-py-nig
geraak ge-raak
gered ge-red
gereed ge-reed
gereedheid ge-reed-heid
gereg ge-reg
geregtighede ge-reg-tig-he-de
geregtigheid ge-reg-tig-heid
gereinig ge-rei-nig
gerig ge-rig
gering ge-ring
geringe ge-rin-ge
geringes ge-rin-ges
geroep ge-roep
gerol ge-rol
geroofde ge-roof-de
gerub ge-rub
gerubs ge-rubs
g�rubs g�rubs
gerug ge-rug
geruis ge-ruis
gerus ge-rus
gerwe ger-we
gerwebinder ger-we-bin-der
gerys ge-rys
gesaaide ge-saai-de
gesag ge-sag
gesak ge-sak
gesalf ge-salf
gesalfde ge-salf-de
gesalfde-is ge-salfde-is
gesalfdes ge-salf-des
gesang ge-sang
gesange ge-san-ge
ges� ge-s�
gese�n ge-se�n
gese�nd ge-se�nd
geseendes ge-seen-des
ges�laat ge-s�laat
geselskap ge-sel-skap
gesidder ge-sid-der
gesidderbeef ge-sid-der-beef
gesien ge-sien
gesig ge-sig
gesink ge-sink
gesit ge-sit
geskal ge-skal
geskape ge-ska-pe
geskend ge-skend
geskenk ge-skenk
geskenke ge-sken-ke
geskep ge-skep
geskeur ge-skeur
geskied ge-skied
geskil ge-skil
geskrewe ge-skre-we
geskrik ge-skrik
geskroei ge-skroei
geskrywe ge-skry-we
geslaak ge-slaak
geslaan ge-slaan
geslag ge-slag
geslagte ge-slag-te
geslinger ge-slin-ger
gesmaad ge-smaad
gesmaak ge-smaak
gesmee ge-smee
gesmeek ge-smeek
gesoek ge-soek
gesond ge-sond
gesondig ge-son-dig
gespan ge-span
gespil ge-spil
gespoel ge-spoel
gespreek ge-spreek
gesprei ge-sprei
gestaan ge-staan
gestadig ge-sta-dig
gestalt' ge-stalt'
gestand ge-stand
geste ge-s-te
gestel ge-stel
gestem ge-stem
gesterk ge-sterk
gesternte ge-ster-nte
gesteun ge-steun
gestewig ge-ste-wig
gestig ge-s-tig
gestort ge-stort
gestraal ge-straal
gestraf ge-straf
gestrek ge-strek
gestrenge ge-stren-ge
gestrengheid ge-streng-heid
gestruikel ge-strui-kel
gestry ge-stry
gestuit ge-stuit
gestuur ge-stuur
gesug ge-sug
gesuisel ge-sui-sel
geswaai ge-swaai
gesweer ge-sweer
geswerwe ge-s-wer-we
geswig ge-s-wig
geswind ge-s-wind
geswinde ge-s-win-de
geswyg ge-swyg
get get
getal ge-tal
geteken ge-te-ken
getekend ge-te-kend
getel ge-tel
geterg ge-terg
getrag ge-trag
getrap ge-trap
getref ge-tref
getrek ge-trek
getreur ge-treur
getrou ge-trou
getroue ge-troue
getroue-en ge-troue-en
getrouheid ge-trou-heid
getugtig ge-tug-tig
getuie ge-tuie
getuienis ge-tui-e-nis
getuienisse ge-tui-e-nis-se
getuies ge-tui-es
getuig ge-tuig
getuig'nis ge-tuig'nis
geur geur
gevaar ge-vaar
gevaarlikhede ge-vaar-lik-he-de
geval ge-val
gevang ge-vang
gevang'nes ge-vang'nes
gevang'nis ge-vang'nis
gevang'nisbande ge-vang'nis-ban-de
gevange ge-van-ge
gevangene ge-van-ge-ne
gevangenis ge-van-ge-nis
gevangenskap ge-van-gen-skap
gevare ge-va-re
gevat ge-vat
geveg ge-veg
geveinsd ge-veinsd
gevind ge-vind
gevleg ge-vleg
gevlieg ge-vlieg
gevloei ge-vloei
gevlug ge-vlug
gevoed ge-voed
gevoel ge-voel
gevolg ge-volg
gevra ge-vra
